x,y,actionList,predictionsList
10,17,0,"[0.01, 0.01, 0.01]"
10,18,0,"[0.01, 0.01, 0.01]"
10,19,0,"[0.01, 0.01, 0.01]"
11,0,0,"[0.01, 0.01, 0.01]"
11,1,0,"[0.01, 0.01, 0.01]"
11,2,0,"[0.01, 0.01, 0.01]"
11,3,0,"[0.01, 0.01, 0.01]"
11,4,0,"[0.01, 0.01, 0.01]"
11,5,0,"[0.01, 0.01, 0.01]"
11,6,0,"[0.01, 0.01, 0.01]"
11,7,0,"[0.01, 0.01, 0.01]"
11,8,0,"[0.01, 0.01, 0.01]"
11,9,0,"[-2.9590759610584305, -3.7765765815565575, -2.969184269389192]"
11,10,2,"[-4.5422541002512204, -4.682689373091225, -3.944846447568301]"
11,11,0,"[-3.4384623012373345, -3.5472093624409102, -3.526091425025433]"
11,12,2,"[-3.433121970813151, -3.350247560166877, -2.654338322557966]"
11,13,1,"[-1.785557064084585, -1.540417649983741, -1.7068544290291756]"
11,14,2,"[-2.183412934, -1.3920598, -0.99505]"
11,15,1,"[-0.99505, 0.01, 0.01]"
11,16,0,"[0.01, 0.01, 0.01]"
11,17,0,"[0.01, 0.01, 0.01]"
11,18,0,"[0.01, 0.01, 0.01]"
11,19,0,"[0.01, 0.01, 0.01]"
