x,y,actionList,predictionsList
4,16,2,"[-14.595547729914953, -14.606035253948896, -14.432044536224451]"
4,17,2,"[-13.457566047271866, -13.355345015398454, -11.653766919523154]"
4,18,2,"[-6.953638164168454, -2.9876664732047886, -2.4298481430196723]"
4,19,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
5,0,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
5,1,2,"[-0.9901, -1.3351494999999998, 0.009999999999999998]"
5,2,1,"[-9.724833280711337, -9.609411671234035, -9.690266093280032]"
5,3,0,"[-11.018489620618308, -11.125794953145233, -11.479224718662035]"
5,4,2,"[-15.239406547935825, -15.297853383598921, -15.155209791533403]"
5,5,2,"[-16.621759715869587, -16.71288357660766, -16.55877272813437]"
5,6,1,"[-18.500273084441258, -18.42019650348435, -18.537301026713912]"
5,7,0,"[-20.459748466646694, -20.640417752556615, -20.64300506351806]"
5,8,0,"[-23.01510853429329, -23.175930550735348, -23.17713591556314]"
5,9,0,"[-26.777891274742306, -27.028949340328275, -27.473473664478295]"
5,10,0,"[-29.330697575636176, -30.179374935502555, -30.185364354118885]"
5,11,1,"[-28.800564085969736, -28.602575010506982, -28.639834989051405]"
5,12,2,"[-23.28784133331363, -22.67287900573467, -22.018304831033177]"
5,13,1,"[-20.822391131323112, -20.808464846844785, -20.811579278606498]"
5,14,1,"[-19.08580177650809, -18.965716034004107, -19.159112608109247]"
5,15,2,"[-16.96941059550548, -16.97689439969244, -16.730930693410365]"
5,16,1,"[-15.067675144470716, -14.86829363066624, -14.891400224203542]"
5,17,2,"[-13.630194587933534, -13.333624410610629, -12.665007402509678]"
5,18,2,"[-7.572520793181005, -5.777223772863976, -3.802475994372293]"
5,19,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
6,0,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
6,1,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
6,2,1,"[-5.96623613400268, -5.674653615113302, -5.682413899903003]"
6,3,1,"[-10.74635539562753, -10.658686815658863, -10.77545794151421]"
6,4,0,"[-11.76711203705093, -12.614528715285209, -12.313798163929608]"
6,5,1,"[-15.330728256116505, -15.15597335657902, -15.61074050160637]"
6,6,1,"[-16.80960449766223, -16.797026717801415, -16.9314300937259]"
